Team_Name,Year,Rushing,Receiving,Passing,Tackling,Run_Defense,Pass_Rush,Coverage,Pass_Blocking,Run_Blocking,Quarterback,Running_Back,Receiver/TE,Tackle,Interior_OLine,Interior_DLine,Edge,Linebacker,Safety,Cornerback,Team_Wins,Team_Record,Team_Tier
KC,2007,59.50225989,69.03875969,58.82584,67.06180099,67.21845171,68.42399123,71.08258916,78.4924305,66.94051363,56.72837707,59.97622739,73.41195946,65.33487579,72.80012678,65.92505176,75.88761062,68.6572617,81.09236417,68.40639048,4,0.25,4
SD,2007,67.96331237,69.84394251,75.23412698,63.50327616,71.20505533,65.86668994,69.2682589,79.23364649,68.46163347,69.49323077,68.0765653,72.77993457,70.58380999,75.20664653,71.05239437,76.64412581,81.05671642,68.30805802,69.50959616,11,0.6875,2
SL,2007,61.76109726,70.69194757,70.88664,66.20657057,66.54771188,61.51671733,65.2804365,72.86084289,63.16002975,70.77660594,62.08188406,68.82747909,60.52629058,64.80251022,60.99402913,65.34617959,61.52859116,69.44696673,70.14576541,3,0.1875,4
CIN,2007,60.56626214,78.1876588,78.1,67.54737631,68.06640283,58.95574861,63.23056063,73.00560142,65.23268235,74.8,74.05605096,77.50894737,66.6556444,64.87323944,59.93933842,65.55290208,62.47060291,66.42659436,68.26616853,7,0.4375,3
ARZ,2007,46.32820513,71.07693727,51.46581059,56.99881313,60.9085213,56.33155216,62.25741746,62.11153634,60.11835459,47.4016537,53.80639535,70.60571429,65.15722412,55.27185987,56.67609178,54.00271069,58.36316606,68.63565961,62.26111319,8,0.5,3
PIT,2007,48.8602459,72.02200957,57.12827789,56.69287146,65.88725413,58.3944655,63.60907966,73.77688647,65.77412955,55.47051153,61.75966587,71.5972885,70.71269231,65.367557,70.49815397,64.18956989,72.04146341,63.6132128,60.72836816,10,0.625,2
CLV,2007,55.11886792,66.75936884,42.09005329,72.95024378,69.07582815,57.70084187,69.09246482,75.10687481,63.88186025,41.1361809,54.48859813,70.68124166,70.43577236,67.81348937,65.16977413,65.77106097,72.24196553,74.44113506,67.61019364,10,0.625,2
SF,2007,61.01153846,70.76564551,57.17307692,63.86872286,72.88163077,57.25453532,66.43162791,75.68421676,68.28726096,57.58036481,71.68412017,70.16177194,68.36701681,73.85923856,64.56777638,68.2816879,62.70528262,72.5743215,75.91479663,5,0.3125,4
MIN,2007,58.49782135,60.6015748,47.92698413,65.06728138,73.2833581,63.09035034,69.58829268,72.15635995,66.88180851,50.07108808,66.95229167,64.72583759,63.4864783,73.82589375,80.84305101,56.07584194,73.48264278,78.217797,68.80914348,8,0.5,3
NYJ,2007,53.76580796,70.69408034,44.98284734,70.64997363,65.5590459,56.471687,70.99709269,78.41494422,64.23085468,44.39700599,56.84098361,69.24936359,66.52633588,71.43704408,63.13798883,61.19686214,63.07332641,76.00886981,70.26666667,4,0.25,4
ATL,2007,61.78119891,62.62485549,58.40599676,68.62067551,66.39579237,63.8599768,64.90078658,78.78281206,68.91568471,58.23432836,72.34152893,65.05734012,75.43724239,76.44952568,58.11707182,67.17844098,68.16048866,66.265138,66.09877883,4,0.25,4
DEN,2007,60.63349398,67.24919679,54.81666667,64.47858056,67.42412935,60.57157407,69.36235624,71.34779547,62.95445452,51.19353183,59.55238095,72.44431324,68.54589109,60.35478548,60.28371257,72.73794243,60.94933637,65.17672055,82.6704661,7,0.4375,3
DAL,2007,56.12307692,72.69633911,79.37770035,66.74863865,69.99570158,63.06833391,65.69702611,79.55947495,72.11024272,78.34581231,65.857173,76.03526697,73.15940594,77.9830363,65.1059605,79.21885125,60.83386525,72.70340426,62.00965795,13,0.8125,1
HST,2007,54.78198433,62.82050209,73.41992945,70.63817745,64.83883624,55.95543651,64.7448926,75.99258794,67.98218306,69.28764161,83.94256293,63.43862865,68.33881645,76.32194631,56.19848643,56.13989464,68.29953811,68.33891136,65.18322949,8,0.5,3
BLT,2007,51.15035461,68.40719844,57.05533118,71.7981978,77.55204365,62.24230456,72.66665783,76.18795951,62.17123256,50.81234568,60.13553371,66.6845089,72.81043199,61.11137206,74.45899114,65.37886375,82.66084367,82.23325678,71.01740216,5,0.3125,4
SEA,2007,50.81222494,62.88566243,69.93782148,67.52407975,66.43587054,63.55234188,70.43256028,73.2278319,63.97989443,70.57974098,57.93053016,65.78221429,72.63160132,64.44231937,64.73648584,60.65981661,76.53859935,69.72249322,68.72418275,10,0.625,2
WAS,2007,54.16857749,69.97014315,47.82595156,63.45861746,65.0882557,56.69098592,66.0936515,77.59368299,69.74853583,50.28268685,69.11256732,71.07655211,77.31776133,75.79275715,59.28426209,59.20564315,75.64418852,58.35496296,66.42228222,9,0.5625,2
NO,2007,56.94779221,70.35319149,88.6,63.05374701,67.67720963,61.22971098,68.64804441,79.51214711,66.83833249,84.95904059,63.375,68.38806818,72.78490566,76.92088244,76.43474816,67.00537341,70.89982833,69.34574176,65.11265085,7,0.4375,3
MIA,2007,56.95463918,64.72359307,52.58737864,60.14313153,71.99706639,67.53130352,64.05177725,73.54110715,65.04520958,53.73306452,61.72360802,68.9271824,77.60713632,62.15210113,70.45261614,83.50479726,71.63876534,65.66564706,63.450036,1,0.0625,4
PHI,2007,63.78056995,65.26007605,68.93138298,63.5013059,59.85326954,59.89009551,68.55947581,79.89565446,71.76381074,69.80477099,62.54805726,64.21068289,76.10609302,82.90406202,57.50604678,62.77473958,59.32297722,66.72815207,71.9544147,8,0.5,3
DET,2007,42.8318328,66.72833638,65.28211009,61.89399625,63.64874267,63.25997977,58.56654169,71.08687783,62.23157731,64.30517241,55.38459119,67.60603774,65.24520049,67.1952268,66.91445211,58.9843318,61.44517123,63.62141261,57.55690902,7,0.4375,3
JAX,2007,73.08097166,65.49977221,66.15992366,66.51299814,66.00417755,58.93667348,70.25494005,75.0164361,67.28553571,65.45956392,68.2006383,64.95340788,67.22127226,75.95280048,66.10469442,70.33535833,67.20350665,64.26290323,73.20406112,11,0.6875,2
IND,2007,68.00135135,73.75009671,91.24226087,62.29697563,59.59362234,65.4856513,63.20638136,76.25776758,70.34519824,91.98050682,71.29626168,73.66787402,59.7997999,81.56368098,56.24449001,63.33030572,57.16405493,68.8640553,62.14744722,13,0.8125,1
CAR,2007,51.47361111,67.59640592,64.46283662,62.12167483,65.31078178,69.23717298,68.69767729,73.54962359,68.29298684,60.51968191,66.97690632,65.15780564,73.42813576,69.58365759,69.84793916,67.37399337,64.51685073,60.48727948,79.06059406,7,0.4375,3
TB,2007,62.84827586,61.6107221,57.53255814,57.78607192,64.93160173,58.51149123,63.26919101,70.62000619,59.2894887,56.11416922,62.94081996,62.07245467,59.65747874,61.97400592,67.08012284,63.35066789,56.69899884,69.65757129,66.19401745,9,0.5625,2
